"Last Name, First Name(Sex/Age)",Time,OverAllPlace,Sex Place/Div Place,DIV,Country,BQ*
Eliud Kipchoge (M),2:03:05,1,1 / 1,M18-39,KEN,BQ
Stanley Biwott (M),2:03:51,2,2 / 2,M18-39,KEN,BQ
Kenenisa Bekele (M),2:06:36,3,3 / 3,M18-39,ETH,BQ
Ghirmay Ghebreslassie (M),2:07:46,4,4 / 4,M18-39,ERI,BQ
Wilson Kipsang (M),2:07:52,5,5 / 5,M18-39,KEN,BQ
Tilahun Regassa (M),2:09:47,6,6 / 6,M18-39,ETH,BQ
Sisay Lemma (M),2:10:45,7,7 / 7,M18-39,ETH,BQ
Callum Hawkins (M),2:10:52,8,8 / 8,M18-39,GBR,BQ
Dennis Kimetto (M),2:11:44,9,9 / 9,M18-39,KEN,BQ
Ghebre Kibrom (M),2:11:56,10,10 / 10,M18-39,ERI,BQ
Yuki Sato (M),2:12:14,11,11 / 11,M18-39,JPN,BQ
Tsegai Tewelde (M),2:12:23,12,12 / 12,M18-39,GBR,BQ
Vitaliy Shafar (M),2:12:36,13,13 / 13,M18-39,UKR,BQ
Derek Hawkins (M),2:12:57,14,14 / 14,M18-39,GBR,BQ
Serhiy Lebid (M),2:14:07,15,15 / 1,M40-44,UKR,BQ
Chris Thompson (M),2:15:05,16,16 / 15,M18-39,GBR,BQ
Mathew Bond (M),2:15:32,17,17 / 16,M18-39,GBR,BQ
Robbie Simpson (M),2:15:38,18,18 / 17,M18-39,GBR,BQ
Lee Merrien (M),2:16:42,19,19 / 18,M18-39,GBR,BQ
Sean Hehir (M),2:17:20,20,20 / 19,M18-39,IRL,BQ
Paul Martelletti (M),2:17:26,21,21 / 20,M18-39,GBR,BQ
Andrew Davies (M),2:17:45,22,22 / 21,M18-39,GBR,BQ
Rob Watson (M),2:18:45,23,23 / 22,M18-39,CAN,BQ
Thomas Frazer (M),2:19:17,24,24 / 23,M18-39,IRL,BQ
Aaron Scott (M),2:19:18,25,25 / 24,M18-39,GBR,BQ
Ben Moreau (M),2:19:43,26,26 / 25,M18-39,GBR,BQ
Antonio Uribe (M),2:20:21,27,27 / 26,M18-39,MEX,BQ
Stephen Scullion (M),2:20:39,28,28 / 27,M18-39,IRL,BQ
Steven Way (M),2:20:50,29,29 / 2,M40-44,GBR,BQ
Thomas Payn (M),2:21:20,30,30 / 28,M18-39,GBR,BQ
Kojo Kyereme (M),2:21:28,31,31 / 3,M40-44,GBR,BQ
Ruben Sanca (M),2:21:28,32,32 / 29,M18-39,USA,BQ
Michael Kallenberg (M),2:21:38,33,33 / 30,M18-39,GBR,BQ
Gary O'Hanlon (M),2:21:42,34,34 / 4,M40-44,IRL,BQ
Stuart Robinson (M),2:21:55,35,35 / 31,M18-39,GBR,BQ
Abera Kuma (M),2:22:17,36,36 / 32,M18-39,ETH,BQ
Jemima Sumgong (F),2:22:58,37,1 / 1,F18-39,KEN,BQ
Tigist Tufa (F),2:23:03,38,2 / 2,F18-39,ETH,BQ
Carl Ryde (M),2:23:04,39,37 / 33,M18-39,GBR,BQ
Matthew Bennett (M),2:23:13,40,38 / 34,M18-39,GBR,BQ
Peter Le Grice (M),2:23:16,41,39 / 35,M18-39,GBR,BQ
Neil Renault (M),2:23:31,42,40 / 36,M18-39,GBR,BQ
Florence Kiplagat (F),2:23:39,43,3 / 3,F18-39,KEN,BQ
James Kelly (M),2:23:48,44,41 / 37,M18-39,GBR,BQ
Jonathan Hay (M),2:23:52,45,42 / 38,M18-39,GBR,BQ
Volha Mazuronak (F),2:23:54,46,4 / 4,F18-39,BLR,BQ
Aselefech Mergia (F),2:23:57,47,5 / 5,F18-39,ETH,BQ
Patryk Gierjatowicz (M),2:24:00,48,43 / 39,M18-39,GBR,BQ
Jonathan Poole (M),2:24:09,49,44 / 40,M18-39,GBR,BQ
Mare Dibaba (F),2:24:09,50,6 / 6,F18-39,ETH,BQ
Jarlath McKenna (M),2:24:12,51,45 / 41,M18-39,GBR,BQ
Gareth Edward Lowe (M),2:24:13,52,46 / 5,M40-44,GBR,BQ
Iraitz Arrospide (M),2:24:51,53,47 / 42,M18-39,ESP,BQ
Feyse Tadese (F),2:25:03,54,7 / 7,F18-39,ETH,BQ
Shaun Dixon (M),2:25:04,55,48 / 43,M18-39,GBR,BQ
Mark Jenkin (M),2:25:10,56,49 / 44,M18-39,GBR,BQ
Ben Shearer (M),2:25:13,57,50 / 45,M18-39,GBR,BQ
Grant Johnson (M),2:25:16,58,51 / 46,M18-39,GBR,BQ
Andy Greenleaf (M),2:25:17,59,52 / 47,M18-39,GBR,BQ
Dave Morgan (M),2:25:21,60,53 / 48,M18-39,GBR,BQ
Kyle Greig (M),2:25:23,61,54 / 49,M18-39,GBR,BQ
Rob Keal (M),2:25:37,62,55 / 6,M40-44,GBR,BQ
Vladimir Shatrov (M),2:25:47,63,56 / 50,M18-39,AUS,BQ
Iain Quinn (M),2:25:49,64,57 / 51,M18-39,GBR,BQ
Sebastien Bazeille (M),2:25:58,65,58 / 52,M18-39,FRA,BQ
Dale Annable (M),2:26:26,66,59 / 53,M18-39,GBR,BQ
russell bentley (M),2:26:26,67,60 / 54,M18-39,GBR,BQ
Rowan Jack Atherstone Preece (M),2:26:27,68,61 / 55,M18-39,GBR,BQ
Tom Mcgrath (M),2:26:51,69,62 / 56,M18-39,CAN,BQ
Mark Couldwell (M),2:26:58,70,63 / 7,M40-44,GBR,BQ
David Meacock (M),2:26:58,71,64 / 8,M40-44,GBR,BQ
Tom Aldred (M),2:27:12,72,65 / 57,M18-39,GBR,BQ
Adrian Lowther (M),2:27:14,73,66 / 58,M18-39,GBR,BQ
Lee Grantham (M),2:27:24,74,67 / 59,M18-39,GBR,BQ
Priscah Jeptoo (F),2:27:27,75,8 / 8,F18-39,KEN,BQ
Paolo Natali (M),2:27:32,76,68 / 60,M18-39,GBR,BQ
Michael Wardian (M),2:27:37,77,69 / 9,M40-44,USA,BQ
Stuart Spencer (M),2:27:40,78,70 / 61,M18-39,GBR,BQ
Richard Burney (M),2:27:40,79,71 / 62,M18-39,GBR,BQ
Matthew Gunby (M),2:27:43,80,72 / 63,M18-39,GBR,BQ
Robert Jackaman (M),2:27:49,81,73 / 64,M18-39,GBR,BQ
Ben Johnson (M),2:27:55,82,74 / 65,M18-39,GBR,BQ
Blair Mcwhirter (M),2:28:12,83,75 / 66,M18-39,NZL,BQ
Jacek Cieluszecki (M),2:28:17,84,76 / 67,M18-39,GBR,BQ
Michael Wright (M),2:28:29,85,77 / 68,M18-39,GBR,BQ
Mary Keitany (F),2:28:30,86,9 / 9,F18-39,KEN,BQ
Peter Stuart Lighting (M),2:28:31,87,78 / 69,M18-39,GBR,BQ
Matthew Jones (M),2:28:35,88,79 / 70,M18-39,GBR,BQ
Kevin Farrow (M),2:28:37,89,80 / 10,M40-44,GBR,BQ
Craig Mottram (M),2:28:39,90,81 / 71,M18-39,AUS,BQ
Ben Cole (M),2:28:52,91,82 / 72,M18-39,GBR,BQ
Jessica Augusto (F),2:28:53,92,10 / 10,F18-39,POR,BQ
Glen Watts (M),2:28:57,93,83 / 73,M18-39,GBR,BQ
Daniel Gaffney (M),2:29:14,94,84 / 74,M18-39,GBR,BQ
Trevor Power (M),2:29:15,95,85 / 75,M18-39,IRL,BQ
John Bartlett (M),2:29:18,96,86 / 76,M18-39,AUS,BQ
James Westlake (M),2:29:19,97,87 / 77,M18-39,GBR,BQ
Chris Jordan (M),2:29:20,98,88 / 78,M18-39,GBR,BQ
Hugh Torry (M),2:29:25,99,89 / 79,M18-39,GBR,BQ
Craig Hopkins (M),2:29:37,100,90 / 80,M18-39,GBR,BQ
Tom Charles (M),2:29:38,101,91 / 81,M18-39,GBR,BQ
gary pennington (M),2:29:40,102,92 / 11,M40-44,GBR,BQ
Jeremy Rossiter (M),2:29:41,103,93 / 12,M40-44,GBR,BQ
Nicholas Torry (M),2:29:42,104,94 / 82,M18-39,GBR,BQ
Katarzyna Kowalska (F),2:29:47,105,11 / 11,F18-39,POL,BQ
Danny kendall (M),2:29:53,106,95 / 83,M18-39,GBR,BQ
Lawrence Avery (M),2:29:53,107,96 / 84,M18-39,GBR,BQ
Matthew Rees (M),2:29:55,108,97 / 85,M18-39,GBR,BQ
Alan Darby (M),2:29:55,109,98 / 86,M18-39,GBR,BQ
Belal Ahmed (M),2:29:57,110,99 / 87,M18-39,EGY,BQ
Ludovic Renou (M),2:30:04,111,100 / 13,M40-44,FRA,BQ
Stuart Sharp (M),2:30:04,112,101 / 88,M18-39,GBR,BQ
Sara Hall (F),2:30:06,113,12 / 12,F18-39,USA,BQ
Darryl Hards (M),2:30:10,114,102 / 89,M18-39,GBR,BQ
Mark Newton (M),2:30:20,115,103 / 90,M18-39,GBR,BQ
David Green (M),2:30:22,116,104 / 91,M18-39,GBR,BQ
Alan O'Shea (M),2:30:31,117,105 / 92,M18-39,IRL,BQ
Ady Whitwam (M),2:30:34,118,106 / 14,M40-44,GBR,BQ
Daniel Davies (M),2:30:40,119,107 / 93,M18-39,GBR,BQ
James Chettle (M),2:30:44,120,108 / 94,M18-39,GBR,BQ
Alex Pilcher (M),2:30:44,121,109 / 95,M18-39,GBR,BQ
Martin O'Connell (M),2:30:45,122,110 / 96,M18-39,GBR,BQ
Jack Parslow (M),2:31:01,123,111 / 97,M18-39,GBR,BQ
Michael Sawrey (M),2:31:04,124,112 / 98,M18-39,GBR,BQ
Oliver Laws (M),2:31:09,125,113 / 99,M18-39,GBR,BQ
michael Eccles (M),2:31:24,126,114 / 100,M18-39,GBR,BQ
Fintan Parkinson (M),2:31:34,127,115 / 101,M18-39,GBR,BQ
Daniel Glaz (M),2:31:35,128,116 / 102,M18-39,USA,BQ
Hussein Ahmed (M),2:31:36,129,117 / 103,M18-39,GBR,BQ
Toby Chapman (M),2:31:38,130,118 / 104,M18-39,GBR,BQ
jonathan tipper (M),2:31:39,131,119 / 105,M18-39,GBR,BQ
Joe Croft (M),2:31:42,132,120 / 106,M18-39,GBR,BQ
George King (M),2:31:45,133,121 / 107,M18-39,GBR,BQ
Thomas Millard (M),2:31:48,134,122 / 108,M18-39,GBR,BQ
Alyson Dixon (F),2:31:52,135,13 / 13,F18-39,GBR,BQ
Scott Hazell (M),2:31:59,136,123 / 109,M18-39,GBR,BQ
Sonia Samuels (F),2:32:00,137,14 / 14,F18-39,GBR,BQ
Sean Hogan (M),2:32:07,138,124 / 110,M18-39,GBR,BQ
Julian Rendall (M),2:32:14,139,125 / 111,M18-39,GBR,BQ
Christopher Ashford (M),2:32:15,140,126 / 112,M18-39,GBR,BQ
